departamento,provincia,distrito,C_CODI_AGRUPOL,AGRUPACION,TOTAL_VOTOS,POR_VALIDOS,POR_EMITIDOS,NOMBREe_CANDIDATO,updated,avance
AMAZONAS,LUYA,COLCAMAR,00000007,FUERZA POPULAR,459,44.563,39.672000000000004,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CONILA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,583,62.958999999999996,59.008,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CONILA,00000007,FUERZA POPULAR,343,37.041,34.717,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,INGUILPATA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,147,46.372,43.491,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,INGUILPATA,00000007,FUERZA POPULAR,170,53.62800000000001,50.29600000000001,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONGUITA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,215,41.109,39.376999999999995,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONGUITA,00000007,FUERZA POPULAR,308,58.891,56.41,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONYA CHICO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,268,62.326,59.031,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONYA CHICO,00000007,FUERZA POPULAR,162,37.674,35.683,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,1154,57.38399999999999,53.575,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
