departamento,provincia,ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,updated,avance
PIURA,SECHURA,53245,43140,81.02199999999999,98.94200000000001,100,189,0,187,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,PUNO,182177,150593,82.663,99.84100000000001,100,627,0,626,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,AZANGARO,98243,82099,83.56700000000001,100,100,335,0,335,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,CARABAYA,45084,35146,77.95700000000001,100,100,159,0,159,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,CHUCUITO,59704,47247,79.13499999999999,99.512,100,205,0,204,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,HUANCANE,54989,44729,81.342,100,100,190,0,190,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,LAMPA,35555,29817,83.862,99.2,100,125,0,124,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,MELGAR,54677,43860,80.21700000000001,100,100,187,0,187,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,SANDIA,41947,32569,77.643,100,100,148,0,148,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,SAN ROMAN,219644,189398,86.23,99.465,100,747,0,743,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,YUNGUYO,30308,21804,71.94100000000002,99.048,100,105,0,104,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,SAN ANTONIO DE PUTINA,22609,19273,85.245,100,100,78,0,78,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,EL COLLAO,53041,42685,80.475,99.45400000000001,100,183,0,182,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,MOHO,21352,15471,72.45700000000001,100,100,74,0,74,0,0,2021-06-08T12:52:00Z,94.78760000000001
SAN MARTIN,MOYOBAMBA,96987,69955,72.12799999999999,100,100,332,0,332,0,0,2021-06-08T12:52:00Z,94.78760000000001
SAN MARTIN,HUALLAGA,21499,14846,69.054,97.368,100,76,0,74,0,0,2021-06-08T12:52:00Z,94.78760000000001
SAN MARTIN,LAMAS,64173,47099,73.394,100,100,225,0,225,0,0,2021-06-08T12:52:00Z,94.78760000000001
SAN MARTIN,MARISCAL CACERES,47189,32219,68.277,97.546,100,163,0,159,0,0,2021-06-08T12:52:00Z,94.78760000000001
SAN MARTIN,RIOJA,99156,71287,71.894,100,100,334,0,334,0,0,2021-06-08T12:52:00Z,94.78760000000001
SAN MARTIN,SAN MARTIN,146443,113568,77.551,99.80199999999999,100,504,0,503,0,0,2021-06-08T12:52:00Z,94.78760000000001
SAN MARTIN,BELLAVISTA,40520,27959,69,97.94500000000001,100,146,0,143,0,0,2021-06-08T12:52:00Z,94.78760000000001
SAN MARTIN,TOCACHE,55949,40062,71.604,98.462,100,195,0,192,0,0,2021-06-08T12:52:00Z,94.78760000000001
SAN MARTIN,PICOTA,31922,23884,74.82,99.107,100,112,0,111,0,0,2021-06-08T12:52:00Z,94.78760000000001
SAN MARTIN,EL DORADO,27918,20664,74.01700000000001,98.02,100,101,0,99,0,0,2021-06-08T12:52:00Z,94.78760000000001
TACNA,TACNA,258975,206472,79.727,98.774,100,897,0,886,0,0,2021-06-08T12:52:00Z,94.78760000000001
TACNA,TARATA,6308,4821,76.427,100,100,24,0,24,0,0,2021-06-08T12:52:00Z,94.78760000000001
TACNA,JORGE BASADRE,8544,6457,75.574,100,100,30,0,30,0,0,2021-06-08T12:52:00Z,94.78760000000001
TACNA,CANDARAVE,5893,4228,71.74600000000001,100,100,23,0,23,0,0,2021-06-08T12:52:00Z,94.78760000000001
TUMBES,TUMBES,116052,91382,78.742,98.74700000000001,100,399,0,394,0,0,2021-06-08T12:52:00Z,94.78760000000001
TUMBES,CONTRALMIRANTE VILLAR,15050,11930,79.269,98.21400000000001,100,56,0,55,0,0,2021-06-08T12:52:00Z,94.78760000000001
TUMBES,ZARUMILLA,34521,26376,76.406,98.319,100,119,0,117,0,0,2021-06-08T12:52:00Z,94.78760000000001
CALLAO,CALLAO,808366,642766,79.51400000000001,98.039,100,2754,0,2700,0,0,2021-06-08T12:52:00Z,94.78760000000001
UCAYALI,CORONEL PORTILLO,292236,208059,71.196,97.718,100,1008,0,985,0,0,2021-06-08T12:52:00Z,94.78760000000001
UCAYALI,PADRE ABAD,48392,34482,71.256,97.04100000000001,100,169,0,164,0,0,2021-06-08T12:52:00Z,94.78760000000001
UCAYALI,ATALAYA,37238,19475,52.29900000000001,98.45,100,129,0,127,0,0,2021-06-08T12:52:00Z,94.78760000000001
UCAYALI,PURUS,2828,1408,49.788000000000004,90.909,100,11,0,10,0,0,2021-06-08T12:52:00Z,94.78760000000001
