departamento,provincia,CCODI_UBIGEO,CONTABILIZA,CONT_NORMAL,IMPUGNADA,ERROR_MAT,MESAS_INSTALADAS,ACTAS_PROCESADAS,SOL_NULIDAD,ILEGIBLE,PENDIENTE,OTRAS_OBS,SIN_DATOS,CONT_ANULADA,POR_PROCESAR,EXTRAVIADA,SINIESTRADA,INCOMPLETA,SIN_FIRMA,A_INSTALAR,MESAS_NO_INST,FUSIONADAS,NTOTAL_AUTO,MESAS_HABILES,TOT_CIUDADANOS_VOTARON,ELECTORES_HABIL,ELECTORES_HABIL_50,TOTAL_JEE,updated,avance
JUNIN,CHUPACA,110900,169,169,1,0,171,171,0,0,0,0,0,0,0,0,0,1,0,171,0,0,0,171,36752,47631,23816,2,2021-06-08T01:18:00Z,94.2231
LA LIBERTAD,TRUJILLO,120100,2606,2606,12,9,2645,2645,0,4,0,9,0,0,0,0,0,4,1,2645,0,0,0,2645,597491,779066,389535,39,2021-06-08T01:18:00Z,94.2231
LA LIBERTAD,BOLIVAR,120200,38,38,0,1,41,41,0,0,0,1,0,0,0,0,0,0,1,41,0,0,0,41,5883,10554,5278,3,2021-06-08T01:18:00Z,94.2231
LA LIBERTAD,SANCHEZ CARRION,120300,373,373,1,4,378,378,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,378,73069,108586,54295,5,2021-06-08T01:18:00Z,94.2231
LA LIBERTAD,OTUZCO,120400,237,237,0,0,238,238,0,0,0,0,0,0,0,0,0,0,1,238,0,0,0,238,47600,68514,34260,1,2021-06-08T01:18:00Z,94.2231
LA LIBERTAD,PACASMAYO,120500,273,273,0,0,275,275,0,1,0,0,0,0,0,0,0,0,1,275,0,0,0,275,59705,79105,39553,2,2021-06-08T01:18:00Z,94.2231
LA LIBERTAD,PATAZ,120600,183,183,1,0,185,185,0,0,0,0,0,0,0,0,0,0,1,185,0,0,0,185,32956,52383,26194,2,2021-06-08T01:18:00Z,94.2231
LA LIBERTAD,SANTIAGO DE CHUCO,120700,136,136,0,1,138,138,0,0,0,1,0,0,0,0,0,0,0,138,0,0,0,138,26293,38598,19301,2,2021-06-08T01:18:00Z,94.2231
LA LIBERTAD,ASCOPE,120800,325,325,0,0,325,325,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,325,72868,94654,47330,0,2021-06-08T01:18:00Z,94.2231
LA LIBERTAD,CHEPEN,120900,223,223,1,0,227,227,0,1,0,1,0,0,0,0,0,0,1,227,0,0,0,227,48905,65402,32701,4,2021-06-08T01:18:00Z,94.2231
